Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,1/27/2013 0:00:00,100000,567
US,North,Bill,10/25/2018 0:00:00,120000,3000
UK,North,Thomas,4/29/2014 0:00:00,140000,345
Australia,East,John,6/3/2011 0:00:00,160000,1000
Africa,East,Bill,8/27/2014 0:00:00,180000,123
Singapore,East,Thomas,6/23/2011 0:00:00,200000,1000
Mylasia,West,John,3/11/2017 0:00:00,1000000,7890
India,West,Bill,11/21/2011 0:00:00,240000,200
US,West,Thomas,1/28/2018 0:00:00,26000000,1000
UK,North,John,11/26/2016 0:00:00,100000,1000
Australia,North,Bill,2/28/2012 0:00:00,120000,567
Africa,North,Thomas,9/1/2012 0:00:00,140000,1000
Singapore,East,John,11/11/2016 0:00:00,160000,892
Mylasia,East,Bill,9/7/2018 0:00:00,180000,444
India,East,Thomas,10/9/2012 0:00:00,200000,90
US,West,John,8/24/2017 0:00:00,220000,90
UK,West,Bill,10/7/2013 0:00:00,240000,90
Australia,West,Thomas,3/5/2017 0:00:00,260000,90
Africa,North,John,10/27/2011 0:00:00,140000,85
Singapore,North,Bill,10/9/2012 0:00:00,150000,85
